name|institution|course_id|language
FinTech Law and Policy|Duke University|fintechlawandpolicy|English
The Social Context of Mental Health and Illness|University of Toronto|mental-health|English
What Is Contemporary Art?|The Museum of Modern Art|contemporary-art|English
The Art of Music Production|Berklee College of Music|producing-music|English
Biohacking Your Brain's Health|Emory University|biohacking-your-brains-health|English
Bayesian Statistics: From Concept to Data Analysis|University of California, Santa Cruz|bayesian-statistics|English
Reporting extra-financier et stratégie RSE|ESSEC Business School|reporting-extra-financier-strategie-rse|French
Leading Healthcare Quality and Safety|The George Washington University|quality-healthcare|English
Understanding International Relations Theory|National Research University Higher School of Economics|international-relations-theory|English
Introduction to Data Analytics|IBM|introduction-to-data-analytics|English
Fundamentos de Excel para Negocios|Universidad Austral|excel-para-negocios|Spanish
Elastic Google Cloud Infrastructure: Scaling and Automation|Google Cloud|gcp-infrastructure-scaling-automation|English
Cultural Competence - Aboriginal Sydney|The University of Sydney|cultural-competence-aboriginal-sydney|English
Fundamentos de Finanzas Empresariales|Universidad de los Andes|finanzas-empresariales|Spanish
Greening the Economy: Sustainable Cities|Lund University|gte-sustainable-cities|English
Introduction to Engineering Mechanics|Georgia Institute of Technology|engineering-mechanics-statics|English
Design-Led Strategy: Design thinking for business strategy and entrepreneurship|The University of Sydney|design-strategy|English
Biology Meets Programming: Bioinformatics for Beginners|University of California San Diego|bioinformatics|English
Understanding Medical Research: Your Facebook Friend is Wrong|Yale University|medical-research|English
Health Behavior Change: From Evidence to Action|Yale University|health-behavior-change|English
Ordered Data Structures|University of Illinois at Urbana-Champaign|cs-fundamentals-2|Deutsch
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential|McMaster University|mindshift|English
Programming Fundamentals|Duke University|programming-fundamentals|Deutsch
Understanding Financial Markets|University of Geneva|understanding-financial-markets|English
In the Studio: Postwar Abstract Painting|The Museum of Modern Art|painting|English
Drug Commercialization|University of California San Diego|drug-commercialization|English
Introduction to Software Product Management|University of Alberta|introduction-to-software-product-management|English
Social Norms, Social Change I|Unicef|norms|English
Excel Skills for Business: Intermediate II|Macquarie University|excel-intermediate-2|English
Aboriginal Worldviews and Education|University of Toronto|aboriginal-education|English
Information Systems Auditing, Controls and Assurance|The Hong Kong University of Science and Technology|information-systems-audit|English
Six Sigma Principles|University System of Georgia|six-sigma-principles|English
Business Writing|University of Colorado Boulder|writing-for-business|Deutsch
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep|Autodesk|autodesk-autocad-design-drafting|English
Introduction to Typography|California Institute of the Arts|typography|English
Customer Segmentation and Prospecting|Northwestern University|customer-segmentation-prospecting|English
Claves para Gestionar Personas|IESE Business School|gestionar-personas|Spanish
English for Journalism|University of Pennsylvania|journalism|English
How Things Work: An Introduction to Physics|University of Virginia|how-things-work|English
Business English: Networking|University of Washington|business-english-intro|English
Summary Statistics in Public Health|Johns Hopkins University|summary-statistics|English
The Changing Global Order|Universiteit Leiden|changing-global-order|English
Global Energy and Climate Policy|University of London|globalenergyandclimatepolicy|English
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho|Universidad Austral|legaltech|Spanish
Probability and Statistics: To p or not to p?|University of London|probability-statistics|English
Gut Check: Exploring Your Microbiome|University of Colorado Boulder|microbiome|English
Econometrics: Methods and Applications|Erasmus University Rotterdam|erasmus-econometrics|English
Разработка веб-сервисов на Go - основы языка|Moscow Institute of Physics and Technology|golang-webservices-1|Russian
Mastering Data Analysis in Excel|Duke University|analytics-excel|English
Basic Statistics|University of Amsterdam|basic-statistics|English
Capstone: Retrieving, Processing, and Visualizing Data with Python|University of Michigan|python-data-visualization|English
Design Thinking for the Greater Good: Innovation in the Social Sector|University of Virginia|uva-darden-design-thinking-social-sector|English
Introduction to Portfolio Construction and Analysis with Python|EDHEC Business School|introduction-portfolio-construction-python|English
Data Analytics for Lean Six Sigma|University of Amsterdam|data-analytics-for-lean-six-sigma|English
Refugees in the 21st Century|University of London|refugees-21st-century|English
Building Containerized Applications on AWS|Amazon Web Services|containerized-apps-on-aws|English
Business Transformation with Google Cloud|Google Cloud|business-transformation-google-cloud|English
Version Control with Git|Atlassian|version-control-with-git|English
Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences|UNSW Sydney (The University of New South Wales)|transmedia-storytelling|English
Excel aplicado a los negocios (Nivel Avanzado)|Universidad Austral|excel-aplicado-negocios-avanzado|Spanish
Introduction to Public Speaking|University of Washington|public-speaking|English
Building Conversational Experiences with Dialogflow|Google Cloud|conversational-experiences-dialogflow|English
Guitar for Beginners|Berklee College of Music|guitar|English
Managing Project Risks and Changes|University of California, Irvine|project-risk-management|English
L'excellence opérationnelle en pratique|ESSEC Business School|excellence-operationnelle|French
Introduction to Cloud Computing|IBM|introduction-to-cloud|English
Sample-based Learning Methods|Alberta Machine Intelligence Institute|sample-based-learning-methods|English
Functional Programming Principles in Scala|École Polytechnique Fédérale de Lausanne|progfun1|English
Introduction to Blockchain Technologies|INSEAD|introduction-blockchain-technologies|English
Introduction to Environmental Law and Policy|The University of North Carolina at Chapel Hill|environmental-law|English
Cameras, Exposure, and Photography|Michigan State University|exposure-photography|English
Democracia y decisiones públicas. Introducción al análisis de políticas públicas|Universitat Autònoma de Barcelona|democracia|Spanish
Dentistry 101|University of Michigan|dentistry101|English
Python Functions, Files, and Dictionaries|University of Michigan|python-functions-files-dictionaries|English
Anticorrupción: Introducción a conceptos y perspectiva práctica|Universidad Nacional Autónoma de México|anticorrupcion-introduccion|Spanish
Positive Psychology: Applications and Interventions|University of Pennsylvania|positive-psychology-applications|English
Introduction to Embedded Systems Software and Development Environments|University of Colorado Boulder|introduction-embedded-systems|English
Personal & Family Financial Planning|University of Florida|family-planning|English
A Law Student's Toolkit|Yale University|law-student|English
Introducción a Data Science: Programación Estadística con R|Universidad Nacional Autónoma de México|intro-data-science-programacion-estadistica-r|Spanish
Cybersecurity Roles, Processes & Operating System Security|IBM|cybersecurity-roles-processes-operating-system-security|English
Computational Neuroscience|University of Washington|computational-neuroscience|Italian
De-Mystifying Mindfulness|Universiteit Leiden|mindfulness|English
Smart Cities – Management of Smart Urban Infrastructures|École Polytechnique Fédérale de Lausanne|smart-cities|English
Getting Started with Go|University of California, Irvine|golang-getting-started|English
Introduction to Economic Theories|Erasmus University Rotterdam|intro-economic-theories|English
Probabilistic Graphical Models 1: Representation|Stanford University|probabilistic-graphical-models|English
The Power of Microeconomics: Economic Principles in the Real World|University of California, Irvine|principles-of-microeconomics|English
Introduction to Personal Branding|University of Virginia|personal-branding|English
Love as a Force for Social Justice|Stanford University|love-social-justice|English
Mathematical Thinking in Computer Science|University of California San Diego|what-is-a-proof|English
Introduction to Genetics and Evolution|Duke University|genetics-evolution|English
Основы программирования на Python|National Research University Higher School of Economics|python-osnovy-programmirovaniya|Russian
Improving Communication Skills|University of Pennsylvania|wharton-communication-skills|English
Introduction to Trading, Machine Learning & GCP|New York Institute of Finance|introduction-trading-machine-learning-gcp|English
Python Programming: A Concise Introduction|Wesleyan University|python-programming-introduction|English
The Modern World, Part Two: Global History since 1910|University of Virginia|modern-world-2|English
Understanding Plants - Part I: What a Plant Knows|Tel Aviv University|plantknows|English
Excel Fundamentals for Data Analysis|Macquarie University|excel-data-analysis-fundamentals|English
Finanzas personales|Universidad Nacional Autónoma de México|finanzas-personales|Spanish
English Composition I|Duke University|english-composition|English
Career 911: Your Future Job in Medicine and Healthcare|Northwestern University|healthcarejobs|English
Introduction to Self-Driving Cars|University of Toronto|intro-self-driving-cars|English
Corporate & Commercial Law I: Contracts & Employment Law|University of Illinois at Urbana-Champaign|corporate-commercial-law-part1|English
Blockchain Basics|University at Buffalo|blockchain-basics|English
Foundations of Business Strategy|University of Virginia|uva-darden-foundations-business-strategy|English
Introdução à Ciência da Computação com Python Parte 1|Universidade de São Paulo|ciencia-computacao-python-conceitos|Portuguese
Stochastic processes|National Research University Higher School of Economics|stochasticprocesses|English
Foundations for Big Data Analysis with SQL|Cloudera|foundations-big-data-analysis-sql|English
Innovation Through Design: Think, Make, Break, Repeat|The University of Sydney|innovation-through-design|English
Perfect Tenses and Modals|University of California, Irvine|perfect-tenses-modals|English
Getting Started with Azure|LearnQuest|cloud-azure-intro|English
Moralities of Everyday Life|Yale University|moralities|English
Revisão Sistemática e Meta-análise|Universidade Estadual de Campinas|revisao-sistematica|Portuguese
Understanding child development: from synapse to society|Utrecht University|child-development|English
Introduction to G Suite|Google Cloud|introduction-g-suite|English
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn)|University of California San Diego|aprendiendo-a-aprender|Spanish
Building Batch Data Pipelines on GCP|Google Cloud|batch-data-pipelines-gcp|English
Financial Planning for Young Adults|University of Illinois at Urbana-Champaign|financial-planning|English
Quantitative Methods|University of Amsterdam|quantitative-methods|English
Introduction to Self-Determination Theory: An approach to motivation, development and wellness|University of Rochester|self-determination-theory|English
The Technology of Music Production|Berklee College of Music|technology-of-music-production|English
Code Yourself! An Introduction to Programming|The University of Edinburgh|intro-programming|English
Success|University of Pennsylvania|wharton-success|Italian
Chemicals and Health|Johns Hopkins University|chemicals-health|English
Improving your statistical inferences|Eindhoven University of Technology|statistical-inferences|English
Fundamentals of Finance|University of Pennsylvania|finance-fundamentals|English
How Google does Machine Learning|Google Cloud|google-machine-learning|English
Object-Oriented Design|University of Alberta|object-oriented-design|English
Introduction to Intellectual Property|University of Pennsylvania|introduction-intellectual-property|English
Cost and Economics in Pricing Strategy|BCG|uva-darden-bcg-pricing-strategy-cost-economics|English
Write A Feature Length Screenplay For Film Or Television|Michigan State University|write-a-feature-length-screenplay-for-film-or-television|English
Marketing Gerencial|Universidad de Chile|marketing-gerencial|English
Corporate Finance Essentials|IESE Business School|corporate-finance-essentials|English
Information Security: Context and Introduction|Royal Holloway, University of London|information-security-data|English
Anatomy of the Chest, Abdomen, and Pelvis|Yale University|trunk-anatomy|English
Introduction to CSS3|University of Michigan|introcss|English
Applied Data Science Capstone|IBM|applied-data-science-capstone|English
Introduction aux Droits de l’Homme|University of Geneva|droits-de-lhomme|French
Programming Languages, Part A|University of Washington|programming-languages|English
Big History: Connecting Knowledge|Macquarie University|big-history|English
Leadership in 21st Century Organizations|Copenhagen Business School|leadership-21st-century|English
Software Processes and Agile Practices|University of Alberta|software-processes-and-agile-practices|English
DevOps Culture and Mindset|University of California, Davis|devops-culture-and-mindset|English
Introduction to Statistics & Data Analysis in Public Health|Imperial College London|introduction-statistics-data-analysis-public-health|English
Discrete Optimization|The University of Melbourne|discrete-optimization|English
Основы разработки на C++: белый пояс|Moscow Institute of Physics and Technology|c-plus-plus-white|Russian
COVID-19 Contact Tracing For Nursing Professionals|University of Houston|covid-19-contact-tracing-for-nursing-professionals|English
High Stakes Leadership: Leading in Times of Crisis|University of Michigan|high-stakes-leadership|English
Essential Epidemiologic Tools for Public Health Practice|Johns Hopkins University|epidemiology-tools|English
Epigenetic Control of Gene Expression|The University of Melbourne|epigenetics|English
Recruiting, Hiring, and Onboarding Employees|University of Minnesota|recruiting-hiring-onboarding-employees|English
AWS Fundamentals: Addressing Security Risk|Amazon Web Services|aws-fundamentals-addressing-security-risk|English
Ancient Philosophy: Plato & His Predecessors|University of Pennsylvania|plato|English
Becoming a changemaker: Introduction to Social Innovation|University of Cape Town|social-innovation|English
Spanish for Successful Communication in Healthcare Settings|Rice University|spanish-in-healthcare-settings|English
Leading transformations: Manage change|Macquarie University|change-management|English
Introduction to Systems Engineering|UNSW Sydney (The University of New South Wales)|systems-engineering|English
Digital Marketing Analytics in Theory|University of Illinois at Urbana-Champaign|marketing-analytics|English
Data Visualization and Communication with Tableau|Duke University|analytics-tableau|English
Bayesian Statistics: Techniques and Models|University of California, Santa Cruz|mcmc-bayesian-statistics|English
Human Rights for Open Societies|Utrecht University|humanrights|English
Introduction to Computers and Office Productivity Software|The Hong Kong University of Science and Technology|introduction-to-computers-and-office-productivity-software|English
The Introduction to Quantum Computing|Saint Petersburg State University|quantum-computing-algorithms|English
Intercultural Management|ESCP Business School|intercultural|English
Get Interactive: Practical Teaching with Technology|University of London|getinmooc|English
International Law In Action: Investigating and Prosecuting International Crimes|Universiteit Leiden|international-law-in-action-2|English
Global Financial Markets and Instruments|Rice University|global-financial-markets-instruments|English
Write Your First Novel|Michigan State University|write-your-first-novel|English
Développement psychologique de l'enfant|University of Geneva|enfant-developpement|French
Songwriting: Writing the Lyrics|Berklee College of Music|songwriting-lyrics|English
Applied Plotting, Charting & Data Representation in Python|University of Michigan|python-plotting|English
Systems Thinking In Public Health|Johns Hopkins University|systems-thinking|English
Excel Skills for Business: Advanced|Macquarie University|excel-advanced|English
Introduction to Neuroeconomics: How the Brain Makes Decisions|National Research University Higher School of Economics|neuroeconomics|English
Community Organizing for Social Justice|University of Michigan|community-organizing|English
Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course)|Hebrew University of Jerusalem|nand2tetris2|English
The Global Financial Crisis|Yale University|global-financial-crisis|English
Agile и Scrum в работе над проектами и продуктами|E-Learning Development Fund|upravleniya-proektami-agile-scrum|Russian
Renewable Energy and Green Building Entrepreneurship|Duke University|renewable-energy-entrepreneurship|English
The Cycle: Management of Successful Arts and Cultural Organizations|University of Maryland, College Park|the-cycle|English
Privacy Law and Data Protection|University of Pennsylvania|privacy-law-data-protection|English
Building Modern Python Applications on AWS|Amazon Web Services|building-modern-python-applications-on-aws|English
Digital Business Models|Lund University|digital-business-models|Deutsch
Everyday Excel, Part 2|University of Colorado Boulder|everyday-excel-part-2|English
Reliable Google Cloud Infrastructure: Design and Process|Google Cloud|cloud-infrastructure-design-process|English
Introduction to Computer Programming|University of London|introduction-to-computer-programming|English
Big Data Essentials: HDFS, MapReduce and Spark RDD|Yandex|big-data-essentials|English
Dermatology: Trip to skin|Novosibirsk State University |dermatology|English
Sustainable Tourism – promoting environmental public health|University of Copenhagen|sustainable-tourism|English
Population Health During A Pandemic: Contact Tracing and Beyond|University of Houston|contact-tracing-for-covid-19|English
Social Impact Strategy: Tools for Entrepreneurs and Innovators|University of Pennsylvania|social-impact|English
C for Everyone: Programming Fundamentals|University of California, Santa Cruz|c-for-everyone|English
Introduction to Structured Query Language (SQL)|University of Michigan|intro-sql|English
Social and Economic Networks:  Models and Analysis|Stanford University|social-economic-networks|English
The Truth About Cats and Dogs|The University of Edinburgh|cats-and-dogs|English
Sports and Society|Duke University|sports-society|English
Fundamentals of Scalable Data Science|IBM|ds|English
Effective Compliance Programs|University of Pennsylvania|effective-compliance-programs|English
Transformation of the Global Food System|University of Copenhagen|transformation-global-food-system|English
Web Application Technologies and Django|University of Michigan|django-database-web-apps|English
Curanderismo: Traditional Healing Using Plants|University of New Mexico|curanderismo-plants|English
Applied Machine Learning in Python|University of Michigan|python-machine-learning|English
Troubleshooting and Debugging Techniques|Google|troubleshooting-debugging-techniques|English
Introduction to C# Programming and Unity|University of Colorado System|introduction-programming-unity|English
Corrección, estilo y  variaciones de la lengua española|Universitat Autònoma de Barcelona|correccion-estilo-variaciones|Spanish
Les Fondamentaux de la Négociation|ESSEC Business School|fondamentaux-negociation|French
Introduction to Clinical Data|Stanford University|introduction-clinical-data|English
The Science of Success: What Researchers Know that You Should Know|University of Michigan|success|English
Finance for Non-Financial Managers|Emory University|finance-for-non-financial-managers|English
Getting Started With Music Theory|Michigan State University|music-theory|English
Digital Marketing Analytics in Practice|University of Illinois at Urbana-Champaign|digital-analytics|English
The Horse Course: Introduction to Basic Care and Management|University of Florida|horse-care|English
Verb Tenses and Passives|University of California, Irvine|verb-passives|Deutsch
Gestión de organizaciones efectivas|Pontificia Universidad Católica de Chile|gestion-organizaciones-efectivas|Spanish
Introduction to Big Data|University of California San Diego|big-data-introduction|English
Rédaction de contrats|University of Geneva|contrats|French
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences|The University of Edinburgh|philosophy-cognitive-sciences|English
Schizophrenia|Wesleyan University|schizophrenia|Deutsch
Ecology: Ecosystem Dynamics and Conservation|Howard Hughes Medical Institute |ecology-conservation|English
Introduction to Game Development|Michigan State University|game-development|English
Practical Time Series Analysis|The State University of New York|practical-time-series-analysis|English
VLSI CAD Part I: Logic|University of Illinois at Urbana-Champaign|vlsi-cad-logic|Italian
Getting Started with Google Kubernetes Engine|Google Cloud|google-kubernetes-engine|English
Exploring ​and ​Preparing ​your ​Data with BigQuery|Google Cloud|gcp-exploring-preparing-data-bigquery|English
Six Sigma and the Organization (Advanced)|University System of Georgia|six-sigma-organization-advanced|English
Social Work Practice: Advocating Social Justice and Change|University of Michigan|social-work-practice-advocating-social-justice-and-change|English
Introduction to Machine Learning|Duke University|machine-learning-duke|English
Entrepreneurship 2: Launching your Start-Up|University of Pennsylvania|wharton-launching-startup|English
Nanotechnology: A Maker’s Course|Duke University|nanotechnology|English
Creative Problem Solving|University of Minnesota|creative-problem-solving|English
Sleep: Neurobiology, Medicine, and Society|University of Michigan|sleep|English
COVID-19: What You Need to Know (CME Eligible)|Osmosis|covid-19-what-you-need-to-know|English
Classical Sociological Theory|University of Amsterdam|classical-sociological-theory|English
Electric Industry Operations and Markets|Duke University|electricity|English
Preparing for the Google Cloud Professional Cloud Architect Exam|Google Cloud|preparing-cloud-professional-cloud-architect-exam|English
Effective Business Presentations with Powerpoint|PwC|powerpoint-presentations|English
More Introduction to Financial Accounting|University of Pennsylvania|wharton-financial-accounting|English
Cryptocurrency and Blockchain: An Introduction to Digital Currencies|University of Pennsylvania|wharton-cryptocurrency-blockchain-introduction-digital-currency|English
Dairy Production and Management|The Pennsylvania State University|dairy-production|English
Think Again I: How to Understand Arguments|Duke University|understanding-arguments|English
Developing Your Musicianship|Berklee College of Music|develop-your-musicianship|English
Introduction to Operations Management|University of Pennsylvania|wharton-operations|English
The Oral Cavity: Portal to Health and Disease|University of Pennsylvania|oralcavity|English
Preparing for the Google Cloud Associate Cloud Engineer Exam|Google Cloud|preparing-cloud-associate-cloud-engineer-exam|English
Fundamental Neuroscience for Neuroimaging|Johns Hopkins University|neuroscience-neuroimaging|Italian
European Business Law: Understanding the Fundamentals|Lund University|european-law-fundamentals|English
Teach English Now! Teaching Language Online|Arizona State University|teachlanguageonline|English
Front-End Web Development with React|The Hong Kong University of Science and Technology|front-end-react|English
Music Business Foundations|Berklee College of Music|music-business-foundations|English
Introduction to Business Analytics: Communicating with Data|University of Illinois at Urbana-Champaign|intro-business-analytics|English
Security & Safety Challenges in a Globalized World|Universiteit Leiden|security-safety-globalized-world|English
Machine Learning Foundations: A Case Study Approach|University of Washington|ml-foundations|English
Accounting Analytics|University of Pennsylvania|accounting-analytics|English
Strategic Business Management - Microeconomics|University of California, Irvine|strategic-business-management-microeconomics|English
Epidemics, Pandemics and Outbreaks|University of Pittsburgh|epidemic-pandemic-outbreak|English
Roman Architecture|Yale University|roman-architecture|English
Research Data Management and Sharing|The University of Edinburgh|data-management|English
Introduction to Genomic Technologies|Johns Hopkins University|introduction-genomics|English
Strategic Management|Copenhagen Business School|strategic-management|English
Cybersecurity Compliance Framework & System Administration|IBM|cybersecurity-compliance-framework-system-administration|English
Legal Tech & Startups|IE Business School|legal-tech-startups|Deutsch
Introduction to Chemistry:  Reactions and Ratios|Duke University|intro-chemistry|English
The Science of Stem Cells|American Museum of Natural History|stem-cells|English
The Business of Product Management I|Advancing Women in Product|the-business-of-product-management-one|English
Positive Psychology: Resilience Skills|University of Pennsylvania|positive-psychology-resilience|English
AI for Medical Prognosis|DeepLearning.AI|ai-for-medical-prognosis|Italian
Antibiotic Stewardship|Stanford University|antibiotic-stewardship|English
UX / UI: Fundamentos para o design de interface|Universidade de São Paulo|ux-ui-design-de-interface|Spanish
EMT Foundations|University of Colorado System|emt-foundations|English
Industrial IoT on Google Cloud Platform|Google Cloud|iiot-google-cloud-platform|English
Penetration Testing, Incident Response and Forensics|IBM|ibm-penetration-testing-incident-response-forensics|English
Database Management Essentials|University of Colorado System|database-management|English
Advertising and Society|Duke University|role-of-advertising|English
Everyday Chinese Medicine|The Chinese University of Hong Kong|everyday-chinese-medicine|English
Fundamentals of Machine Learning for Healthcare|Stanford University|fundamental-machine-learning-healthcare|English
New Approaches to Countering Terror: Countering Violent Extremism|University of Maryland, College Park|countering-terror-violent-extremism|English
Magic in the Middle Ages|Universitat de Barcelona|magic-middle-ages|English
Challenging Forensic Science: How Science Should Speak to Court|University of Lausanne|challenging-forensic-science|English
Exploring Renewable Energy Schemes|University of Pennsylvania|exploring-renewable-energy|English
Paleontology: Theropod Dinosaurs and the Origin of Birds|University of Alberta|theropods-birds|English
Corporate Strategy|UCL School of Management|corporatestrategy|English
Getting Started with Essay Writing|University of California, Irvine|getting-started-with-essay-writing|English
Actualización en el manejo del paciente con diabetes mellitus tipo 2|Universidad Nacional Autónoma de México|actualizacion-manejo-diabetes-tipo-2|Spanish
Mastering Final Cut Pro|LearnQuest|mastering-final-cut-pro|English
Removing Barriers to Change|University of Pennsylvania|removing-barriers-to-change|English
Tricky American English Pronunciation|University of California, Irvine|tricky-american-english-pronunciation|English
Managing an Agile Team|University of Virginia|uva-darden-agile-team-management|English
International Law in Action: A Guide to the International Courts and Tribunals in The Hague|Universiteit Leiden|international-law-in-action|English
Competencias Laborales: Perfiles, Evaluación y Capacitación.|Universidad de Chile|competencias-lab|Spanish
Getting started with TensorFlow 2|Imperial College London|getting-started-with-tensor-flow2|English
Geopolitics of Europe|Sciences Po|geopolitics-europe|English
Osteoarchaeology: The Truth in Our Bones|Universiteit Leiden|truthinourbones-osteoarchaeology-archaeology|English
Mathematics for Machine Learning: PCA|Imperial College London|pca-machine-learning|English
Object Oriented Programming in Java|University of California San Diego|object-oriented-java|English
Embedded Software and Hardware Architecture|University of Colorado Boulder|embedded-software-hardware|English
Memoir and Personal Essay: Managing Your Relationship with the Reader|Wesleyan University|memoir-reader-relationship|English
Математика и Python для анализа данных|Moscow Institute of Physics and Technology|mathematics-and-python|Russian
Hacia una práctica constructivista en el aula|Pontificia Universidad Católica de Chile|aulaconstructivista|Spanish
Hypothesis-Driven Development|University of Virginia|uva-darden-agile-testing|English
Accounting Data Analytics with Python|University of Illinois at Urbana-Champaign|accounting-data-analytics-python|English
Introduction to Molecular Spectroscopy|University of Manchester   |spectroscopy|English
Managing as a Coach|University of California, Davis|managing-as-a-coach|English
The fundamentals of hotel distribution|ESSEC Business School|hotel-distribution|English
A Crash Course in Data Science|Johns Hopkins University|data-science-course|English
